tick,avg-satisfaction,avg-satisfaction1,avg-satisfaction2,avg-satisfaction3,num-absent
0,0.11784966472125771,0.039262051307696035,0.11477326455631515,0.19951367829976174,0
1,0.30792497254710555,0.24394940863154752,0.3035514019191697,0.376274107090601,0
2,0.345890330138089,0.28380830673784496,0.34203657228800605,0.4118261113884163,0
3,0.36274626494751006,0.3048381587546634,0.358093603039578,0.4253070330482874,0
4,0.36300687492958117,0.31240096888581803,0.35642274557844017,0.42019691032448625,0
5,0.34732605527728894,0.3050025219841579,0.33934658259300815,0.39762906125470326,0
6,0.3135197327518853,0.2803785792219519,0.3048674258836235,0.35531319315007986,0
7,0.2760261607809252,0.2517018649424721,0.26714667313589846,0.30922994426440426,0
8,0.23809532753117027,0.21782593457885366,0.23323611015417461,0.26322393786048104,0
9,0.2016965181397135,0.17902318592690708,0.2026736656762427,0.22339270281599113,0
10,0.15742319965586135,0.12703884361783663,0.163412863243488,0.18181789210625948,0
11,0.11034152113646745,0.06086558383809172,0.11648898397000378,0.15366999560130698,0
12,0.0644742827891969,-0.00873364588403949,0.06486474639331088,0.13729174785831938,0
13,0.019418707281692274,-0.08242331542006347,0.007892850592034135,0.13278658667310606,0
14,-0.030360774907426693,-0.15802834189708576,-0.04442700391068447,0.11137302108549033,0
15,-0.08996570598888269,-0.23696332659462147,-0.09793278573582657,0.06499899436380009,0
16,-0.15811870424453578,-0.3160740470209988,-0.15751255558797655,-7.695101246317935E-4,4
17,-0.23029047616811213,-0.37742222978345474,-0.2316102550441831,-0.08183894367669743,9
18,-0.3210333342617675,-0.4540135258811752,-0.32669539144728643,-0.18239108545684052,34
19,-0.4337177684080496,-0.5725727936141123,-0.44817328761043973,-0.28040722399959583,89
20,-0.5640149313536953,-0.7301797637706796,-0.5910545626906842,-0.3708104675997222,195
21,-0.7003870019970192,-0.9293294125689858,-0.7301358858102346,-0.4416957076118387,382
22,-0.852976113657173,-1.16827861519363,-0.8909126346127227,-0.4997370911651639,561
23,-1.0083875057243084,-1.4251287868136564,-1.0528289065213536,-0.5472048238379098,774
24,-1.1593979646266537,-1.6557222179189488,-1.2025761304903546,-0.6198955454706595,825
25,-1.2342974855489832,-1.8068871060945315,-1.2315711994371996,-0.6644341511152141,890
26,-1.2298528807015385,-1.8320083147786277,-1.236725214172573,-0.6208251131534162,883
27,-1.1361889174359907,-1.6948055441750236,-1.1526575077258059,-0.5611037004071436,720
28,-0.9596826311556873,-1.4650742625370814,-0.9287819173168071,-0.48519171361316643,482
29,-0.7936594003070186,-1.2225648522008445,-0.7267890917175516,-0.43162425700265633,358
30,-0.7069288659146734,-1.087974781315732,-0.6411446554080146,-0.3916671610202714,265
31,-0.6220082608823087,-0.9687397061035348,-0.5649122742380649,-0.3323728023053258,151
32,-0.572155280528516,-0.8783569391038721,-0.5528752365116427,-0.28523366597002736,113
33,-0.554984688336712,-0.8287289622551588,-0.5701562544159772,-0.2660688483390017,106
34,-0.5485076606280646,-0.8088229687027891,-0.5716547047024617,-0.265045308478942,131
35,-0.569335260192944,-0.8536262199733832,-0.5728026743382806,-0.2815768862671704,178
36,-0.6055406142320482,-0.929121032649016,-0.5659330157381266,-0.3215677943090025,220
37,-0.6411331416095606,-1.0021163547125431,-0.5655841748401473,-0.3556988952759917,306
38,-0.7050607577333513,-1.105564914746036,-0.6193394972419893,-0.3902778612120283,356
39,-0.7757686819936508,-1.2107721764395087,-0.6948176949139641,-0.42171617462748046,405
40,-0.8270474305064169,-1.2748474213944871,-0.7649121379889356,-0.4413827321358244,466
41,-0.8574233269735663,-1.305307264085241,-0.8048914498024778,-0.4620712670329774,531
42,-0.8763504948366638,-1.3141363594943891,-0.8488596262232274,-0.46605549879237457,559
43,-0.8831778575288175,-1.3147053254646799,-0.8705892329897152,-0.4642390141320593,517
44,-0.8357723298580639,-1.257014176634662,-0.8202384007721953,-0.4300644121673336,438
45,-0.8091465486098525,-1.2100287169611532,-0.7778579096651819,-0.4395530192032177,374
46,-0.7894416075776215,-1.1864242824762923,-0.7453721773053331,-0.4365283629512316,387
47,-0.7690685113915671,-1.1794618906952927,-0.7158300318516564,-0.41191361162775064,345
48,-0.7251788641618749,-1.1309351431162782,-0.679118831700927,-0.3654826176684168,300
49,-0.6920502569335613,-1.081296866730018,-0.6441664157576735,-0.35068748831298513,266
50,-0.6596569683732798,-1.0278102266264793,-0.6038468643093392,-0.3473138141840192,229
51,-0.6414629133027753,-0.9820645262390189,-0.5958677227516385,-0.34645649091766073,225
52,-0.6552854559525274,-0.9750781934747192,-0.6158072921069702,-0.3749708822758944,224
53,-0.6686361068332649,-0.9905526527208843,-0.6294264634293462,-0.38592920434956135,237
54,-0.6924766873408982,-1.021613867277915,-0.6550805938501743,-0.4007356008946079,312
55,-0.7336152744187369,-1.092312199721307,-0.6964754088980643,-0.41205821463684444,384
56,-0.7821741244480376,-1.1765337160777662,-0.752615301494537,-0.4173733557718067,396
57,-0.7902217329805085,-1.2161266572714622,-0.7495094792866779,-0.4050290623833885,412
58,-0.8154551678547668,-1.293458799729654,-0.7286332701848156,-0.42427343364983316,447
